Id,Rule Name,Product,Severity,Status,Confidence,Category,Is Pro Rule,Assistant Triage Result,Assistant Triage Reason,Assistant Component,Repository Name,Repository Url,Line Of Code Url,Semgrep Platform Link,Created At,Last Opened At,Branch,Triaged At,Triage Comment,Triage Reason,Rule Description
469017041,generic.secrets.security.detected-bcrypt-hash.detected-bcrypt-hash,Code,High,Open,Low,security,False,,,,aneeqa923/Secure-E-Commerce,https://github.com/aneeqa923/Secure-E-Commerce,https://github.com/aneeqa923/Secure-E-Commerce/blob/06960509fab4ac30dc9942f53d0cb4ccd40037c1/database/ecomm.sql#L179,https://semgrep.dev/orgs/aneeqakhan988_personal_org/findings/469017041,2025-12-01 09:44:08.661435,2025-12-01 09:44:07.427733,refs/heads/main,,,,bcrypt hash detected
469017034,generic.secrets.security.detected-bcrypt-hash.detected-bcrypt-hash,Code,High,Open,Low,security,False,,,,aneeqa923/Secure-E-Commerce,https://github.com/aneeqa923/Secure-E-Commerce,https://github.com/aneeqa923/Secure-E-Commerce/blob/06960509fab4ac30dc9942f53d0cb4ccd40037c1/database/ecomm.sql#L180,https://semgrep.dev/orgs/aneeqakhan988_personal_org/findings/469017034,2025-12-01 09:44:08.661406,2025-12-01 09:44:07.427723,refs/heads/main,,,,bcrypt hash detected
469017026,generic.secrets.security.detected-bcrypt-hash.detected-bcrypt-hash,Code,High,Open,Low,security,False,,,,aneeqa923/Secure-E-Commerce,https://github.com/aneeqa923/Secure-E-Commerce,https://github.com/aneeqa923/Secure-E-Commerce/blob/06960509fab4ac30dc9942f53d0cb4ccd40037c1/database/ecomm.sql#L181,https://semgrep.dev/orgs/aneeqakhan988_personal_org/findings/469017026,2025-12-01 09:44:08.661389,2025-12-01 09:44:07.427714,refs/heads/main,,,,bcrypt hash detected
469017017,javascript.browser.security.insecure-document-method.insecure-document-method,Code,High,Open,Low,security,False,,,,aneeqa923/Secure-E-Commerce,https://github.com/aneeqa923/Secure-E-Commerce,https://github.com/aneeqa923/Secure-E-Commerce/blob/06960509fab4ac30dc9942f53d0cb4ccd40037c1/bower_components/Flot/jquery.js#L3849,https://semgrep.dev/orgs/aneeqakhan988_personal_org/findings/469017017,2025-12-01 09:44:08.661372,2025-12-01 09:44:07.427704,refs/heads/main,,,,"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities"
469017010,javascript.browser.security.insecure-document-method.insecure-document-method,Code,High,Open,Low,security,False,,,,aneeqa923/Secure-E-Commerce,https://github.com/aneeqa923/Secure-E-Commerce,https://github.com/aneeqa923/Secure-E-Commerce/blob/06960509fab4ac30dc9942f53d0cb4ccd40037c1/bower_components/Flot/jquery.js#L5893,https://semgrep.dev/orgs/aneeqakhan988_personal_org/findings/469017010,2025-12-01 09:44:08.661356,2025-12-01 09:44:07.427694,refs/heads/main,,,,"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities"
469017007,javascript.browser.security.insecure-document-method.insecure-document-method,Code,High,Open,Low,security,False,,,,aneeqa923/Secure-E-Commerce,https://github.com/aneeqa923/Secure-E-Commerce,https://github.com/aneeqa923/Secure-E-Commerce/blob/06960509fab4ac30dc9942f53d0cb4ccd40037c1/bower_components/Flot/jquery.js#L6091,https://semgrep.dev/orgs/aneeqakhan988_personal_org/findings/469017007,2025-12-01 09:44:08.661338,2025-12-01 09:44:07.427684,refs/heads/main,,,,"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities"
469016997,javascript.browser.security.insecure-document-method.insecure-document-method,Code,High,Open,Low,security,False,,,,aneeqa923/Secure-E-Commerce,https://github.com/aneeqa923/Secure-E-Commerce,https://github.com/aneeqa923/Secure-E-Commerce/blob/06960509fab4ac30dc9942f53d0cb4ccd40037c1/bower_components/Flot/jquery.js#L6099,https://semgrep.dev/orgs/aneeqakhan988_personal_org/findings/469016997,2025-12-01 09:44:08.661321,2025-12-01 09:44:07.427675,refs/heads/main,,,,"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities"
469016986,javascript.browser.security.insecure-document-method.insecure-document-method,Code,High,Open,Low,security,False,,,,aneeqa923/Secure-E-Commerce,https://github.com/aneeqa923/Secure-E-Commerce,https://github.com/aneeqa923/Secure-E-Commerce/blob/06960509fab4ac30dc9942f53d0cb4ccd40037c1/bower_components/Flot/jquery.js#L6239,https://semgrep.dev/orgs/aneeqakhan988_personal_org/findings/469016986,2025-12-01 09:44:08.661304,2025-12-01 09:44:07.427666,refs/heads/main,,,,"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities"
469016979,javascript.browser.security.insecure-document-method.insecure-document-method,Code,High,Open,Low,security,False,,,,aneeqa923/Secure-E-Commerce,https://github.com/aneeqa923/Secure-E-Commerce,https://github.com/aneeqa923/Secure-E-Commerce/blob/06960509fab4ac30dc9942f53d0cb4ccd40037c1/bower_components/Flot/jquery.js#L6325,https://semgrep.dev/orgs/aneeqakhan988_personal_org/findings/469016979,2025-12-01 09:44:08.661288,2025-12-01 09:44:07.427657,refs/heads/main,,,,"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities"
469016975,javascript.browser.security.insecure-document-method.insecure-document-method,Code,High,Open,Low,security,False,,,,aneeqa923/Secure-E-Commerce,https://github.com/aneeqa923/Secure-E-Commerce,https://github.com/aneeqa923/Secure-E-Commerce/blob/06960509fab4ac30dc9942f53d0cb4ccd40037c1/bower_components/bootstrap-daterangepicker/daterangepicker.js#L166,https://semgrep.dev/orgs/aneeqakhan988_personal_org/findings/469016975,2025-12-01 09:44:08.661271,2025-12-01 09:44:07.427647,refs/heads/main,,,,"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities"
469016967,javascript.browser.security.insecure-document-method.insecure-document-method,Code,High,Open,Low,security,False,,,,aneeqa923/Secure-E-Commerce,https://github.com/aneeqa923/Secure-E-Commerce,https://github.com/aneeqa923/Secure-E-Commerce/blob/06960509fab4ac30dc9942f53d0cb4ccd40037c1/bower_components/bootstrap-daterangepicker/daterangepicker.js#L339,https://semgrep.dev/orgs/aneeqakhan988_personal_org/findings/469016967,2025-12-01 09:44:08.661254,2025-12-01 09:44:07.427637,refs/heads/main,,,,"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities"
469016952,javascript.browser.security.insecure-document-method.insecure-document-method,Code,High,Open,Low,security,False,,,,aneeqa923/Secure-E-Commerce,https://github.com/aneeqa923/Secure-E-Commerce,https://github.com/aneeqa923/Secure-E-Commerce/blob/06960509fab4ac30dc9942f53d0cb4ccd40037c1/bower_components/ckeditor/plugins/codesnippet/lib/highlight/highlight.pack.js#L1,https://semgrep.dev/orgs/aneeqakhan988_personal_org/findings/469016952,2025-12-01 09:44:08.661237,2025-12-01 09:44:07.427627,refs/heads/main,,,,"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities"
469016949,javascript.browser.security.insecure-document-method.insecure-document-method,Code,High,Open,Low,security,False,,,,aneeqa923/Secure-E-Commerce,https://github.com/aneeqa923/Secure-E-Commerce,https://github.com/aneeqa923/Secure-E-Commerce/blob/06960509fab4ac30dc9942f53d0cb4ccd40037c1/bower_components/ckeditor/plugins/codesnippet/lib/highlight/highlight.pack.js#L1,https://semgrep.dev/orgs/aneeqakhan988_personal_org/findings/469016949,2025-12-01 09:44:08.661221,2025-12-01 09:44:07.427617,refs/heads/main,,,,"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities"
